,id,state,gender,dob,avggift,hv1,med_house_income,avg_fam_income,hvp1,ic5,pobc1,pobc2,med_fam_income,avg_house_income,domain,profit,target_d
0,44060,FL,M,1901,28.0,,392,520.0,7,21975,6,16,430.0,466,C2,72.0,100.0
1,96093,IL,M,0,5.666666667,537.0,365,473.0,0,19387,1,89,415.0,410,T2,1.3333333329999997,7.0
2,43333,FL,F,2501,4.1111111110000005,725.0,301,436.0,3,18837,11,17,340.0,361,C2,0.8888888889999995,5.0
3,21885,NC,M,2208,27.27777778,,401,413.0,7,14014,1,74,407.0,399,T2,10.722222219999999,38.0
4,190108,FL,F,0,6.0,995.0,252,348.0,0,17991,5,6,280.0,316,C2,-1.0,5.0
5,100640,IL,M,6104,25.57142857,764.0,457,501.0,1,16022,2,75,477.0,480,S2,4.428571430000002,30.0
6,18581,NC,female,4407,4.625,775.0,318,419.0,5,13491,0,73,364.0,380,R2,7.375,12.0
7,119038,TX,M,0,6.175,890.0,519,560.0,0,17872,2,46,525.0,551,C1,0.8250000000000002,7.0
8,173223,CA,F,1801,8.818181818,,184,250.0,0,8708,2,63,206.0,235,T2,1.1818181820000007,10.0
9,157988,CA,F,0,6.666666667,,593,617.0,61,17838,7,62,,619,S1,3.3333333329999997,10.0
10,141720,NV,F,5401,13.0,1569.0,673,781.0,22,25775,3,44,672.0,785,T1,-8.0,5.0
11,186272,CA,F,3401,8.64,3515.0,521,588.0,97,20068,11,54,565.0,549,U1,1.3599999999999994,10.0
12,154301,Cali,F,2801,11.25,1026.0,459,496.0,1,13803,12,52,470.0,491,T2,-1.25,10.0
13,189722,AP,Male,0,5.727272727000001,0.0,0,0.0,0,0,0,0,0.0,0,0,0.2727272729999992,6.0
14,188304,KS,F,2405,10.55,376.0,263,316.0,0,10755@,1,75,303.0,287,T2,-0.5500000000000007,10.0
15,73699,MI,,5102,11.28571429,890.0,463,523.0,1,9493,5,53,474.0,512,S1,3.7142857100000004,15.0
16,31977,FL,F,2701,18.5,1513.0,521,702.0,31,28124,3,24,599.0,615,T1,9.5,28.0
17,44336,FL,F,6501,15.0,948.0,330,411.0,4,17728,6,8,365.0,368,C2,0.0,15.0
18,127823,TX,F,2301,5.45,258.0,64,74.0,0,4236,0,94,60.0,93,C3,0.5499999999999998,6.0
19,150739,CA,U,5410,9.681818182,1951.0,556,625.0,44,17208,10,66,578.0,619,S1,2.3181818179999993,12.0
20,41384,FL,F,5107,9.428571429,556.0,318,,0,11779,16,22,358.0,320,S3,2.571428571,12.0
21,114721,OK,,0,11.66666667,1040.0,472,656.0,0,26962,2,56,609.0,579,C2,3.3333333300000003,15.0
22,111795,AR,,0,5.0,603.0,208,341.0,2,12038,1,70,264.0,288,0,0.0,5.0
23,64480,IN,F,0,7.142857143,526.0,277,370.0,1,12826,1,80,336.0,317,T2,2.8571428570000004,10.0
24,87259,MT,M,4304,9.7,717.0,302,432.0,1,15614,1,53,458.0,349,C1,15.3,25.0
25,115823,TX,M,0,6.5,1011.0,593,650.0,1,17606,5,61,588.0,650,S1,8.5,15.0
26,95701,IL,M,4406,8.372790698,1063.0,255,317.0,3,14023,16,53,260.0,312,S2,-3.3727906979999993,5.0
27,5172,IL,M,6105,10.61111111,291.0,136,212.0,0,8370,5,67,168.0,180,R3,-0.6111111099999995,10.0
28,152486,CA,M,2401,5.5,1538.0,271,393.0,11,15627,5,49,317.0,342,S2,-0.5,5.0
29,153880,WI,F,5001,12.5,592.0,244,392.0,1,12220,3,74,341.0,306,S1,-7.5,5.0
30,101855,MO,M,2401,7.857142857,871.0,340,416.0,6,15336,0,71,385.0,365,C2,2.1428571429999996,10.0
31,62932,IN,M,0,8.0,403.0,174,264.0,1,9704,0,45,240.0,201,S3,2.0,10.0
32,125930,TX,F,4806,6.0,715.0,339,396.0,1,12617,3,88,378.0,371,R2,1.5,7.5
33,173653,HI,F,2401,15.5,2346.0,420,503.0,67,14552,5,78,446.0,468,C2,5.5,21.0
34,11011,FL,M,2601,12.61111111,559.0,232,269.0,0,10511,11,20,270.0,257,S3,7.3888888900000005,20.0
35,116894,TX,M,2201,12.25,,368,531.0,5,33797,2,42,457.0,450,U1,7.75,20.0
36,154245,CA,F,4304,16.5,596.0,164,190.0,0,5273,23,57,168.0,181,R1,-1.5,15.0
37,134773,UT,M,3201,15.0,706.0,362,394.0,1,10420,1,82,376.0,379,C3,10.0,25.0
38,26271,GA,F,3701,10.13333333,878.0,310,588.0,30,22281,4,55,517.0,433,C2,5.866666670000001,16.0
39,180292,WA,F,2105,6.6,1275.0,405,545.0,21,20971,6,51,453.0,500,C2,3.4000000000000004,10.0
40,10145,CA,F,5401,8.928571429,2362.0,613,678.0,74,21179,9,61,632.0,655,C1,-3.928571429,5.0
41,133806,ID,U,0,20.0,718.0,226,357.0,0,17292,0,39,280.0,278,T2,-5.0,15.0
42,112632,CT,M,5001,8.272727273,2531.0,669,750.0,77,21094,6,51,730.0,696,0,2.727272727000001,11.0
43,143253,CA,F,2101,7.125,2089.0,275,356.0,56,10484,53,36,296.0,322,U3,-2.125,5.0
44,403,AL,J,3901,33.5,765.0,408,472.0,1,15150,1,68,430.0,441,0,1.5,35.0
45,189882,ND,F,4201,10.0,832.0,310,376.0,0,11972,1,85,338.0,348,C2,0.0,10.0
46,119570,TX,M,5201,6.181818182000001,1458.0,299,446.0,8,19185,4,56,354.0,356,S1,3.8181818179999993,10.0
47,144021,CA,F,4903,13.5,1590.0,240,257.0,25,7559,57,34,238.0,262,U4,1.5,15.0
48,93356,IL,F,3705,11.83333333,613.0,212,355.0,0,11792,1,60,245.0,294,U2,13.16666667,25.0
49,24711,SC,F,0,5.875,477.0,256,316.0,0,10621,1,80,282.0,292,T2,4.125,10.0
50,74914,IA,F,1501,4.8636363639999995,424.0,192,256.0,0,9497,1,78,256.0,230,T2,1.1363636360000005,6.0
51,6909,CO,M,2801,13.82352941,383.0,252,380.0,0,14045,0,78,256.0,359,R3,1.1764705899999992,15.0
52,124543,TX,M,5811,11.06666667,688.0,422,490.0,0,16561,0,84,466.0,457,T1,6.93333333,18.0
53,163018,CA,M,0,15.66666667,3500.0,351,407.0,57,26034,36,28,260.0,463,U1,8.33333333,24.0
54,190671,CA,,1901,9.260869565,2143.0,280,373.0,63,12935,29,36,353.0,328,0,4.739130435,14.0
55,33356,FL,F,1401,14.09090909,625.0,246,536.0,3,19102,1,47,466.0,362,S1,5.90909091,20.0
56,151600,Cali,M,6601,15.0,1560.0,500,485.0,5,13816,22,38,488.0,487,S2,6.0,21.0
57,21259,NC,female,4001,12.47826087,716.0,146,382.0,1,11136,2,66,339.0,227,C2,2.5217391300000003,15.0
58,128987,TX,F,3912,26.33333333,1247.0,215,444.0,17,16891,16,50,313.0,350,U1,14.666666670000001,41.0
59,108926,LA,M,2601,15.0,611.0,265,337.0,1,12313,4,52,323.0,302,T2,5.0,20.0
60,154709,Cali,F,0,13.0,1431.0,291,376.0,24,10498,18,48,390.0,315,S2,-8.0,5.0
61,108050,LA,F,1401,5.2,1089.0,431,538.0,1,16777,2,64,520.0,480,T1,10.8,16.0
62,187274,IA,F,0,15.0,435.0,244,329.0,0,10692,2,76,298.0,281,R2,0.0,15.0
63,171655,Cali,F,0,12.66666667,1409.0,321,428.0,21,15611,3,57,405.0,377,S3,-0.6666666699999997,12.0
64,160488,OR,M,0,9.5,647.0,369,463.0,0,18492,6,34,422.0,401,C2,0.5,10.0
65,21305,NC,M,5601,8.333333332999999,415.0,199,300.0,0,11449,0,86,308.0,242,R2,1.6666666670000012,10.0
66,98470,IL,F,1108,8.75,492.0,172,399.0,0,13218,3,85,384.0,276,T2,5.25,14.0
67,140586,TX,M,0,13.25,1043.0,610,788.0,13,49744,2,70,682.0,731,T1,6.75,20.0
68,158101,Cali,M,1701,15.0,3668.0,690,780.0,97,32964,10,44,693.0,781,S1,0.0,15.0
69,150043,Cali,M,3201,20.0,3491.0,791,903.0,94,32718,18,44,828.0,853,S1,0.0,20.0
70,96251,IL,F,4401,5.8666666670000005,192.0,164,224.0,0,7361,3,89,211.0,186,T3,4.1333333329999995,10.0
71,188547,Cali,M,0,20.26086957,0.0,0,0.0,0,0,0,0,0.0,0,U4,4.7391304299999994,25.0
72,180617,WA,male,2101,7.483333332999999,824.0,225,383.0,10,13090,7,52,308.0,293,C2,3.516666667000001,11.0
73,86000,SD,F,1201,11.25,428.0,205,309.0,0,11192,2,62,318.0,245,C2,-1.25,10.0
74,13265,AL,F,1901,7.75,417.0,122,250.0,0,9715,0,64,283.0,160,C3,3.25,11.0
75,71,TN,F,3401,6.818181817999999,399.0,307,352.0,0,11428,0,85,315.0,336,R2,9.181818182,16.0
76,148969,Cali,F,0,9.111111111,2377.0,633,663.0,85,19545,13,53,637.0,652,C1,0.8888888890000004,10.0
77,156324,Cali,,0,8.75,2016.0,431,497.0,51,17882,11,53,465.0,459,S1,6.25,15.0
78,130976,CO,F,1412,8.142857142999999,933.0,289,379.0,0,14104,6,42,332.0,349,C2,-1.1428571429999987,7.0
79,140141,NM,F,4401,12.8,619.0,215,268.0,4,10427,2,50,222.0,260,R2,1.1999999999999993,14.0
80,85416,Cali,F,0,14.0,3303.0,533,614.0,94,24251,13,45,568.0,586,C2,11.0,25.0
81,108150,LA,F,6312,15.2,960.0,479,613.0,0,19518,10,57,526.0,548,S1,4.800000000000001,20.0
82,129823,CO,M,5601,6.076923077000001,1236.0,622,737.0,13,25882,2,29,630.0,727,S1,3.923076922999999,10.0
83,104413,AZ,M,4201,5.5,473.0,164,215.0,1,9819,6,23,179.0,207,R2,0.5,6.0
84,60512,IL,,2801,20.8,1055.0,366,400.0,0,11289,8,74,462.0,379,S2,4.199999999999999,25.0
85,90480,IL,F,4201,9.0,1509.0,545,680.0,19,23170,7,75,617.0,599,C1,2.0,11.0
86,148911,Cali,F,7201,15.5,1953.0,454,564.0,47,21667,11,47,526.0,478,C2,-5.5,10.0
87,52990,TN,M,3801,5.0,927.0,299,410.0,1,14428,1,56,322.0,372,T2,21.0,26.0
88,148022,Cali,F,4608,6.076923077000001,2098.0,305,368.0,56,13564,56,25,311.0,352,U2,3.923076922999999,10.0
