Id,OverallQual,TotalBsmtSF,GrLivArea,FullBath,KitchenQual,GarageCars,Antiquity,SalePrice
1,7,856,1710,2,1.61,2,5,208500
2,6,1262,1262,2,1.61,2,31,181500
3,7,920,1786,2,1.61,2,6,223500
4,7,756,1717,1,1.61,3,36,140000
5,8,1145,2198,2,1.61,3,8,250000
6,5,796,1362,1,1.61,2,14,143000
7,8,1686,1694,2,1.61,2,2,307000
8,7,1107,2090,2,1.61,2,36,200000
9,7,952,1774,2,1.61,2,58,129900
10,5,991,1077,1,1.61,1,58,118000
11,5,1040,1040,1,1.61,1,43,129500
12,9,1175,2324,3,3.14,3,0,345000
13,5,912,912,1,1.61,1,46,144000
14,7,1494,1494,2,1.61,3,0,279500
15,6,1253,1253,1,1.61,1,48,157000
16,7,832,854,1,1.61,2,6,132000
17,6,1004,1004,1,1.61,2,40,149000
18,4,0,1296,2,1.61,2,39,90000
19,5,1114,1114,1,1.61,2,4,159000
20,5,1029,1339,1,1.61,1,44,139000
21,8,1158,2376,3,1.61,3,0,325300
22,7,637,1108,1,1.61,1,57,139400
23,8,1777,1795,2,1.61,2,6,230000
24,5,1040,1060,1,1.61,2,31,129900
25,5,1060,1060,1,1.61,1,9,154000
26,8,1566,1600,2,1.61,3,2,256300
27,5,900,900,1,1.61,2,10,134800
28,8,1704,1704,2,1.61,3,2,306000
29,5,1484,1600,1,1.61,1,9,207500
30,4,520,520,1,1.0,1,58,68500
31,4,649,1317,1,1.61,1,58,40000
32,5,1228,1228,1,1.61,1,2,149350
33,8,1234,1234,2,1.61,2,1,179900
34,5,1398,1700,1,1.61,2,51,165500
35,9,1561,1561,2,3.14,2,2,277500
36,8,1117,2452,3,1.61,3,1,309000
37,5,1097,1097,1,1.61,2,14,145000
38,5,1297,1297,1,1.61,2,19,153000
39,5,1057,1057,1,1.61,1,3,109000
40,4,0,1152,2,1.0,0,53,82000
41,6,1088,1324,2,1.61,2,41,160000
42,5,1350,1328,1,1.61,1,48,170000
43,5,840,884,1,1.61,2,24,144000
44,5,938,938,1,1.61,1,28,130250
45,5,1150,1150,1,1.61,1,47,141000
46,9,1752,1752,2,3.14,2,5,319900
47,7,1434,2149,1,1.61,2,6,239686
48,8,1656,1656,2,1.61,3,1,249700
49,4,736,1452,2,1.61,0,1,113000
50,5,955,955,1,1.61,1,41,127000
51,6,794,1470,2,1.61,2,10,177000
52,6,816,1176,1,1.61,2,56,114500
53,5,816,816,1,1.61,2,47,110000
55,5,384,1360,1,1.61,2,52,130000
56,6,1425,1425,2,1.61,2,44,180500
57,8,970,1739,2,1.61,2,9,172500
58,7,860,1720,2,1.61,2,2,196500
59,10,1410,2945,3,1.61,3,0,438780
60,5,780,780,1,1.61,1,36,124900
61,6,1158,1158,1,1.61,2,2,158000
62,5,530,1111,1,1.0,1,11,101000
63,8,1370,1370,2,1.61,2,1,202500
64,7,576,1710,2,1.61,2,60,140000
65,7,1057,2034,2,1.61,2,11,219500
66,8,1143,2473,2,1.61,3,2,317000
67,7,1947,2207,2,1.61,2,21,180000
68,7,1453,1479,2,1.61,2,4,226000
69,4,747,747,1,1.61,1,60,80000
70,7,1304,2287,2,1.61,2,53,225000
71,7,2223,2223,2,1.61,2,34,244000
72,4,845,845,1,1.61,2,1,129500
73,7,832,1718,2,1.61,2,11,185000
74,5,1086,1086,1,1.61,2,7,144900
75,3,840,1605,2,1.61,1,60,107400
76,4,462,988,1,1.61,1,36,91000
77,4,952,952,1,1.61,1,52,135750
78,5,672,1285,1,1.61,1,7,127000
79,4,1768,1768,2,1.61,0,42,136500
80,5,440,1230,1,1.61,2,28,110000
81,6,896,2142,2,1.61,1,41,193500
82,6,1237,1337,2,1.61,2,8,153500
83,8,1563,1563,2,1.61,3,1,245000
84,5,1065,1065,1,1.61,2,47,126500
85,7,384,1474,2,1.61,2,13,168500
86,8,1288,2417,2,1.61,2,14,260000
87,6,684,1560,2,1.61,2,4,174000
88,6,612,1224,2,1.61,2,0,164500
89,3,1013,1526,1,1.0,0,27,85000
90,4,990,990,1,1.61,0,12,123600
91,4,0,1040,1,1.61,2,56,109900
92,5,1235,1235,1,1.61,2,45,98600
93,5,876,964,1,1.61,2,3,163500
94,6,1214,2291,2,1.61,2,9,133900
95,6,824,1786,2,1.61,2,10,204750
96,6,680,1470,2,1.61,2,16,185000
97,7,1588,1588,2,1.61,2,7,214000
98,4,960,960,1,1.61,1,42,94750
99,5,458,835,1,1.61,1,60,83000
100,4,950,1225,1,1.61,0,51,128950
101,6,1610,1610,2,1.61,2,9,205000
